,fare
429,8.45
747,37.85
394,38.65
730,14.65
297,13.25
73,6.05
393,32.25
547,8.05
579,32.65
541,6.85
854,22.55
833,18.85
840,31.45
663,5.65
217,23.25
539,38.25
828,10.65
623,23.45
668,24.45
824,18.25
421,10.05
694,6.85
138,50.05
212,128.65
616,9.05
842,8.45
838,7.65
866,13.05
727,38.25
965,8.85
701,8.85
726,10.25
917,8.45
716,7.65
234,40.05
67,8.45
24,6.65
381,22.05
216,6.25
735,5.85
129,13.25
349,37.25
111,77.45
166,11.65
207,6.25
438,8.25
552,38.65
274,6.05
974,12.25
591,36.45
800,6.45
937,17.45
525,7.65
287,11.15
469,6.05
326,38.85
121,13.45
994,45.45
507,6.85
228,10.05
673,43.05
595,41.0
445,11.55
117,14.65
464,10.85
25,7.05
110,14.85
149,7.25
152,12.25
528,12.65
696,23.25
621,9.55
461,18.45
598,37.05
139,7.05
749,18.25
260,6.05
961,8.05
323,12.65
897,9.45
248,38.0
450,5.45
410,4.85
607,7.65
19,31.05
328,6.25
296,10.45
269,9.45
226,41.65
94,19.65
515,43.0
841,6.65
637,7.05
280,30.85
286,11.75
589,40.05
930,41.05
444,8.85
184,10.85
371,45.65
872,10.85
976,8.85
275,26.25
806,12.05
935,8.65
182,43.25
32,11.75
80,6.85
307,9.05
770,40.85
11,12.05
43,16.95
86,3.25
778,34.25
36,19.55
980,38.85
58,8.45
41,4.65
782,8.65
411,8.05
562,7.25
209,8.25
148,13.45
739,8.05
594,36.85
123,5.25
734,10.05
574,8.05
98,5.75
377,40.85
130,7.25
699,5.65
23,12.45
869,6.05
555,11.25
370,11.25
512,23.95
383,34.85
201,15.85
368,6.25
554,8.65
610,37.25
387,6.05
861,7.65
816,7.65
292,10.45
690,38.0
256,29.45
606,20.45
197,28.25
95,6.65
962,6.95
943,31.85
169,8.15
581,7.45
305,6.45
560,5.45
853,10.45
373,11.45
719,10.05
791,6.05
227,13.05
660,7.05
143,23.25
846,4.85
180,15.25
868,9.45
131,72.25
949,13.35
47,13.15
774,7.85
324,9.25
203,4.25
84,11.05
633,39.45
565,16.45
611,28.85
398,9.45
896,6.25
91,13.65
82,39.65
430,12.95
779,30.55
119,3.45
870,19.35
291,6.45
57,45.0
321,8.65
257,9.85
888,9.05
947,9.65
442,9.25
42,14.25
617,7.65
388,5.25
335,60.0
273,32.85
756,30.45
488,6.45
550,18.45
901,5.05
53,9.95
932,9.45
936,44.9
128,7.85
802,36.65
28,3.25
183,5.45
882,29.25
459,28.65
510,50.25
675,32.0
151,7.45
244,17.05
714,6.05
543,7.25
544,7.65
639,38.25
697,34.85
265,5.45
288,35.75
423,6.85
910,14.45
147,13.45
659,6.25
797,7.25
966,3.25
177,10.85
99,11.55
850,6.45
448,10.45
431,34.85
847,24.45
709,5.25
755,4.85
115,36.65
916,40.0
777,7.45
72,5.65
845,11.45
537,47.0
677,7.45
849,39.65
983,7.85
174,6.25
87,26.05
551,13.25
486,45.0
705,33.65
314,11.05
396,9.0
600,6.35
472,5.45
70,7.65
599,10.25
804,8.25
754,38.85
277,8.45
723,6.25
9,40.55
359,18.25
707,5.85
763,11.25
835,36.25
192,39.65
629,39.05
559,38.25
684,15.65
