unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
ac035673912b2e078f9a9fd3a1178b1a0060c053,fbfc2ff558d0fc2dd96362ef65d25e08f00b13bc427645692cc034fb62d0ccf5f19c7187554fdf79c714323023b793de64da10de48051c38528f05ca5fc29e27,2015-06-01 19:45:00 UTC,2015-06-01 19:45:00 UTC,170,0.6,,,14,14,4.45,0.0,,0.0,4.45,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
162c96eddcab46f17df987677eadf35a7b0c2f7e,46cb4badd64238b521d799f0aeb48c0214ebcac417ea257c3dabdf3b6105dbd59cdb5be586668b99664d475ff7bc8db97fba083ab39c1a7bd35a2414e5e236b1,2015-05-28 16:30:00 UTC,2015-05-28 18:15:00 UTC,6598,0.3,,,14,14,40.05,0.0,,0.0,40.05,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
7440271f00e395cdd22a2cda36f225a2d5dace5e,46cb4badd64238b521d799f0aeb48c0214ebcac417ea257c3dabdf3b6105dbd59cdb5be586668b99664d475ff7bc8db97fba083ab39c1a7bd35a2414e5e236b1,2015-06-08 15:45:00 UTC,2015-06-08 15:45:00 UTC,1,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
5b45731c91c11f05fe608114678d5c2f11634c73,5ec75f3a4432a8c6edc0e42c0375e9171946504b0a94ce0ad815d7a51f82b654052026dccbbccb7215088c9b2d0dde7187e763e41d3618733bbfee66b806a60f,2015-06-07 01:15:00 UTC,2015-06-07 01:30:00 UTC,853,3.9,,,14,14,11.45,0.0,,1.0,12.45,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
2a997943adf3a589c0d380681e4c28577280ad11,46cb4badd64238b521d799f0aeb48c0214ebcac417ea257c3dabdf3b6105dbd59cdb5be586668b99664d475ff7bc8db97fba083ab39c1a7bd35a2414e5e236b1,2015-06-09 20:15:00 UTC,2015-06-09 20:15:00 UTC,310,1.1,,,14,14,5.65,0.0,,0.0,5.65,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
141919d297a23d32f37a1b8e6e2c78006311e7cd,a8334a45873640e86465b2dcc081d5e2912a127612675ce2da530142cd2fb5e12b4070e05e8cdf69e9f8fbcf091572db3e5e110b0cdded60107063623aac42cb,2015-05-26 22:30:00 UTC,2015-05-26 22:30:00 UTC,18,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
e0d25f00ce80efa03a70a2a4705a52845f7dd995,919ad1eb29141ee529f65193c1347a616239d89cd8c5e1b40fc9a22b845e6abc5f9483c82812c975f82bc6f1d8fc00dc6f25a8e8dd8930599c71ab648350e9d1,2015-05-27 04:45:00 UTC,2015-05-27 05:00:00 UTC,144,0.6,,,14,14,4.45,0.0,,0.0,4.45,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
953f7ec187afe296a765df21e1e7a0e3876869c9,617a9ea2929aa34568d879ef9400c1be77f2f96388cbecb8b0a0e11955db10145a554ad4d4f763a46a1aaaae6ddd9d911e0bfaa0fb3d77d9fb4999325b365473,2015-05-27 09:45:00 UTC,2015-05-27 09:45:00 UTC,1,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
442862554e035183d98f7bba9ecd39d8b111a228,c803393ff29ffeb1529b56151fe8e67ad09c3a7dbf79d469df501f3e36243145589c393d7438968ba77759fdf04bef874318e335227a9e7a1d7570669a490dd0,2015-06-03 05:30:00 UTC,2015-06-03 05:30:00 UTC,0,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
54ccf07e4e2c0087621f483bf3715f2345b24034,c803393ff29ffeb1529b56151fe8e67ad09c3a7dbf79d469df501f3e36243145589c393d7438968ba77759fdf04bef874318e335227a9e7a1d7570669a490dd0,2015-06-03 05:30:00 UTC,2015-06-03 05:30:00 UTC,2,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
1c8e0cb9de0eba4c1fdcfa356926ac63f23c501d,ed1adc8ba94230daae54e9c3f38d0ae7c3604675bd6c30373f097cd8deb905d85e069ec537aa698494314acfbd26f51ca72e24bee83ff76851ed51b5286a455b,2015-06-18 21:45:00 UTC,2015-06-18 21:45:00 UTC,1,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
