,PV output,PeriodStart,hours
204,2051.025,2018/11/05,12
210,0.0,2018/11/05,18
215,0.0,2018/11/05,23
203,1932.105556,2018/11/05,11
201,673.1277778,2018/11/05,09
192,0.0,2018/11/05,00
193,0.0,2018/11/05,01
194,0.0,2018/11/05,02
195,0.0,2018/11/05,03
202,1402.013889,2018/11/05,10
197,0.0,2018/11/05,05
198,0.0,2018/11/05,06
199,0.0,2018/11/05,07
200,3.0305555560000004,2018/11/05,08
196,0.0,2018/11/05,04
230,2349.658333,2018/11/06,14
239,0.0,2018/11/06,23
238,0.0,2018/11/06,22
237,0.0,2018/11/06,21
236,0.0,2018/11/06,20
235,0.0,2018/11/06,19
234,0.0,2018/11/06,18
233,0.0,2018/11/06,17
232,0.0,2018/11/06,16
231,1192.252778,2018/11/06,15
229,2338.333333,2018/11/06,13
228,3120.6333329999998,2018/11/06,12
216,0.0,2018/11/06,00
227,2567.5083329999998,2018/11/06,11
217,0.0,2018/11/06,01
218,0.0,2018/11/06,02
220,0.0,2018/11/06,04
221,0.0,2018/11/06,05
219,0.0,2018/11/06,03
223,0.0,2018/11/06,07
224,0.0,2018/11/06,08
225,641.7666667000001,2018/11/06,09
226,1772.9777780000002,2018/11/06,10
222,0.0,2018/11/06,06
257,0.0,2018/11/07,17
254,1670.352778,2018/11/07,14
255,440.52777779999997,2018/11/07,15
256,0.0,2018/11/07,16
258,0.0,2018/11/07,18
253,2557.380556,2018/11/07,13
260,0.0,2018/11/07,20
261,0.0,2018/11/07,21
262,0.0,2018/11/07,22
263,0.0,2018/11/07,23
259,0.0,2018/11/07,19
252,3231.191667,2018/11/07,12
240,0.0,2018/11/07,00
250,1011.6305560000001,2018/11/07,10
249,301.7388889,2018/11/07,09
248,0.0,2018/11/07,08
247,0.0,2018/11/07,07
246,0.0,2018/11/07,06
245,0.0,2018/11/07,05
244,0.0,2018/11/07,04
243,0.0,2018/11/07,03
242,0.0,2018/11/07,02
241,0.0,2018/11/07,01
251,2155.966667,2018/11/07,11
278,1261.358333,2018/11/08,14
279,525.6194444,2018/11/08,15
280,0.0,2018/11/08,16
281,0.0,2018/11/08,17
282,0.0,2018/11/08,18
287,0.0,2018/11/08,23
284,0.0,2018/11/08,20
285,0.0,2018/11/08,21
286,0.0,2018/11/08,22
277,2470.011111,2018/11/08,13
283,0.0,2018/11/08,19
276,2631.744444,2018/11/08,12
269,0.0,2018/11/08,05
274,1757.4333329999997,2018/11/08,10
265,0.0,2018/11/08,01
266,0.0,2018/11/08,02
267,0.0,2018/11/08,03
268,0.0,2018/11/08,04
264,0.0,2018/11/08,00
270,0.0,2018/11/08,06
271,0.0,2018/11/08,07
272,393.1861111,2018/11/08,08
273,1744.394444,2018/11/08,09
275,3180.211111,2018/11/08,11
301,1033.7944439999999,2018/11/09,13
310,0.0,2018/11/09,22
309,0.0,2018/11/09,21
308,0.0,2018/11/09,20
