,PV output,PeriodStart,hours
2441,0.0,2019/02/06,17
2443,0.0,2019/02/06,19
2444,0.0,2019/02/06,20
2445,0.0,2019/02/06,21
2446,0.0,2019/02/06,22
2436,0.0,2019/02/06,12
2442,0.0,2019/02/06,18
2447,0.0,2019/02/06,23
2435,0.0,2019/02/06,11
2433,0.45,2019/02/06,09
2432,0.0,2019/02/06,08
2431,0.0,2019/02/06,07
2430,0.0,2019/02/06,06
2429,0.0,2019/02/06,05
2428,0.0,2019/02/06,04
2427,0.0,2019/02/06,03
2426,0.0,2019/02/06,02
2425,0.0,2019/02/06,01
2424,0.0,2019/02/06,00
2434,0.0,2019/02/06,10
2463,0.0,2019/02/07,15
2464,0.0,2019/02/07,16
2465,0.0,2019/02/07,17
2466,0.0,2019/02/07,18
2462,0.0,2019/02/07,14
2468,0.0,2019/02/07,20
2469,0.0,2019/02/07,21
2470,0.0,2019/02/07,22
2471,0.0,2019/02/07,23
2467,0.0,2019/02/07,19
2461,0.0,2019/02/07,13
2460,0.0,2019/02/07,12
2448,0.0,2019/02/07,00
2458,0.0,2019/02/07,10
2457,0.0,2019/02/07,09
2456,0.0,2019/02/07,08
2455,0.0,2019/02/07,07
2454,0.0,2019/02/07,06
2453,0.0,2019/02/07,05
2452,0.0,2019/02/07,04
2451,0.0,2019/02/07,03
2450,0.0,2019/02/07,02
2449,0.0,2019/02/07,01
2459,0.0,2019/02/07,11
2486,1036.0944439999998,2019/02/08,14
2487,658.6138889,2019/02/08,15
2488,307.1888889,2019/02/08,16
2489,0.45833333299999995,2019/02/08,17
2495,0.0,2019/02/08,23
2491,0.0,2019/02/08,19
2493,0.0,2019/02/08,21
2494,0.0,2019/02/08,22
2485,928.75,2019/02/08,13
2490,0.0,2019/02/08,18
2484,762.1694444,2019/02/08,12
2492,0.0,2019/02/08,20
2482,0.0,2019/02/08,10
2483,313.36944439999996,2019/02/08,11
2473,0.0,2019/02/08,01
2474,0.0,2019/02/08,02
2475,0.0,2019/02/08,03
2476,0.0,2019/02/08,04
2472,0.0,2019/02/08,00
2478,0.0,2019/02/08,06
2479,0.0,2019/02/08,07
2480,0.0,2019/02/08,08
2481,0.0,2019/02/08,09
2477,0.0,2019/02/08,05
2510,2994.675,2019/02/09,14
2511,2256.961111,2019/02/09,15
2512,761.7888889,2019/02/09,16
2513,0.0,2019/02/09,17
2515,0.0,2019/02/09,19
2516,0.0,2019/02/09,20
2517,0.0,2019/02/09,21
2518,0.0,2019/02/09,22
2509,2121.761111,2019/02/09,13
2519,0.0,2019/02/09,23
2514,0.0,2019/02/09,18
2508,2640.688889,2019/02/09,12
2504,0.0,2019/02/09,08
2506,2780.402778,2019/02/09,10
2505,1273.072222,2019/02/09,09
2503,0.0,2019/02/09,07
2502,0.0,2019/02/09,06
2501,0.0,2019/02/09,05
2500,0.0,2019/02/09,04
2499,0.0,2019/02/09,03
2498,0.0,2019/02/09,02
2497,0.0,2019/02/09,01
2496,0.0,2019/02/09,00
2507,3063.986111,2019/02/09,11
2537,0.0,2019/02/10,17
2534,56.52222222,2019/02/10,14
2535,3.811111111,2019/02/10,15
2536,0.0,2019/02/10,16
2538,0.0,2019/02/10,18
2533,431.47222220000003,2019/02/10,13
2540,0.0,2019/02/10,20
2541,0.0,2019/02/10,21
2542,0.0,2019/02/10,22
2543,0.0,2019/02/10,23
2539,0.0,2019/02/10,19
2532,1581.0777779999999,2019/02/10,12
2520,0.0,2019/02/10,00
2530,2138.2583329999998,2019/02/10,10
2521,0.0,2019/02/10,01
2522,0.0,2019/02/10,02
2523,0.0,2019/02/10,03
2524,0.0,2019/02/10,04
2531,2406.238889,2019/02/10,11
2526,0.0,2019/02/10,06
2527,0.0,2019/02/10,07
2528,186.37777780000002,2019/02/10,08
2529,1362.180556,2019/02/10,09
2525,0.0,2019/02/10,05
2558,1284.786111,2019/02/11,14
2567,0.0,2019/02/11,23
2566,0.0,2019/02/11,22
2565,0.0,2019/02/11,21
2564,0.0,2019/02/11,20
2563,0.0,2019/02/11,19
2562,0.0,2019/02/11,18
2561,56.88055556,2019/02/11,17
2560,461.43888889999994,2019/02/11,16
2559,1576.508333,2019/02/11,15
2557,2589.164345,2019/02/11,13
2556,3346.433333,2019/02/11,12
2544,0.0,2019/02/11,00
2555,1377.997222,2019/02/11,11
2545,0.0,2019/02/11,01
2546,0.0,2019/02/11,02
2548,0.0,2019/02/11,04
2549,0.0,2019/02/11,05
2547,0.0,2019/02/11,03
2551,0.0,2019/02/11,07
2552,162.9388889,2019/02/11,08
2553,1157.7111109999998,2019/02/11,09
2554,2838.5125350000003,2019/02/11,10
2550,0.0,2019/02/11,06
2585,0.0,2019/02/12,17
2582,2699.2972219999997,2019/02/12,14
2583,2709.244444,2019/02/12,15
2584,1534.5444439999999,2019/02/12,16
2586,0.0,2019/02/12,18
2581,3390.4194439999997,2019/02/12,13
2588,0.0,2019/02/12,20
2589,0.0,2019/02/12,21
2590,0.0,2019/02/12,22
2591,0.0,2019/02/12,23
2587,0.0,2019/02/12,19
2580,4834.680556,2019/02/12,12
2568,0.0,2019/02/12,00
2578,3005.063889,2019/02/12,10
2577,1040.494444,2019/02/12,09
2576,475.4833333000001,2019/02/12,08
2575,0.0,2019/02/12,07
2574,0.0,2019/02/12,06
2573,0.0,2019/02/12,05
2572,0.0,2019/02/12,04
2571,0.0,2019/02/12,03
2570,0.0,2019/02/12,02
2569,0.0,2019/02/12,01
2579,3239.122222,2019/02/12,11
2606,3933.0194439999996,2019/02/13,14
2607,2698.2333329999997,2019/02/13,15
2608,1082.555556,2019/02/13,16
2609,32.46388889,2019/02/13,17
2610,0.0,2019/02/13,18
2615,0.0,2019/02/13,23
2612,0.0,2019/02/13,20
2613,0.0,2019/02/13,21
2614,0.0,2019/02/13,22
2605,4651.033332999999,2019/02/13,13
2611,0.0,2019/02/13,19
2604,4754.894444,2019/02/13,12
2592,0.0,2019/02/13,00
2602,3265.036111,2019/02/13,10
2593,0.0,2019/02/13,01
2594,0.0,2019/02/13,02
2595,0.0,2019/02/13,03
2596,0.0,2019/02/13,04
2603,4279.752778,2019/02/13,11
2598,0.0,2019/02/13,06
2599,0.0,2019/02/13,07
2600,269.6222222,2019/02/13,08
2601,1633.65,2019/02/13,09
2597,0.0,2019/02/13,05
2629,4733.483333,2019/02/14,13
2638,0.0,2019/02/14,22
2637,0.0,2019/02/14,21
2636,0.0,2019/02/14,20
2635,0.0,2019/02/14,19
2634,0.0,2019/02/14,18
2633,17.01666667,2019/02/14,17
2632,1339.483333,2019/02/14,16
2631,2837.363889,2019/02/14,15
2630,4010.252778,2019/02/14,14
2639,0.0,2019/02/14,23
2628,4841.619444,2019/02/14,12
2626,3345.602778,2019/02/14,10
2627,4414.011111,2019/02/14,11
2616,0.0,2019/02/14,00
2617,0.0,2019/02/14,01
2619,0.0,2019/02/14,03
2620,0.0,2019/02/14,04
2618,0.0,2019/02/14,02
2622,0.0,2019/02/14,06
2623,0.0,2019/02/14,07
2624,345.9333333,2019/02/14,08
2625,1752.9138890000002,2019/02/14,09
2621,0.0,2019/02/14,05
2657,27.43888889,2019/02/15,17
2654,4039.2305560000004,2019/02/15,14
2655,2854.177778,2019/02/15,15
2656,1361.508333,2019/02/15,16
2658,0.0,2019/02/15,18
2653,4763.683333,2019/02/15,13
2660,0.0,2019/02/15,20
2661,0.0,2019/02/15,21
2662,0.0,2019/02/15,22
2663,0.0,2019/02/15,23
2659,0.0,2019/02/15,19
2652,4822.127778,2019/02/15,12
2651,4380.302778,2019/02/15,11
2650,3385.9444439999997,2019/02/15,10
2641,0.0,2019/02/15,01
2642,0.0,2019/02/15,02
2643,0.0,2019/02/15,03
2644,0.0,2019/02/15,04
2640,0.0,2019/02/15,00
2646,0.0,2019/02/15,06
2647,0.0,2019/02/15,07
2648,349.27777779999997,2019/02/15,08
2649,1699.8805559999998,2019/02/15,09
2645,0.0,2019/02/15,05
2677,4808.836111,2019/02/16,13
2686,0.0,2019/02/16,22
2685,0.0,2019/02/16,21
2684,0.0,2019/02/16,20
2683,0.0,2019/02/16,19
2682,0.0,2019/02/16,18
2681,45.78333333,2019/02/16,17
2680,1430.444444,2019/02/16,16
2679,2967.0,2019/02/16,15
2678,4137.45961,2019/02/16,14
2676,4958.097222,2019/02/16,12
2687,0.0,2019/02/16,23
2674,3515.488889,2019/02/16,10
2664,0.0,2019/02/16,00
2665,0.0,2019/02/16,01
2666,0.0,2019/02/16,02
2667,0.0,2019/02/16,03
2668,0.0,2019/02/16,04
2675,4542.130556,2019/02/16,11
2670,0.0,2019/02/16,06
2671,0.0,2019/02/16,07
2672,425.4777778,2019/02/16,08
2673,1899.725,2019/02/16,09
2669,0.0,2019/02/16,05
2701,4940.286111,2019/02/17,13
2702,4182.116667,2019/02/17,14
2703,3011.927778,2019/02/17,15
2704,1489.277778,2019/02/17,16
2705,52.66388889,2019/02/17,17
2707,0.0,2019/02/17,19
2708,0.0,2019/02/17,20
2709,0.0,2019/02/17,21
2710,0.0,2019/02/17,22
2700,5115.472222,2019/02/17,12
2706,0.0,2019/02/17,18
2711,0.0,2019/02/17,23
2699,4634.930556,2019/02/17,11
2697,2045.4666670000001,2019/02/17,09
2696,478.6611111,2019/02/17,08
2695,0.0,2019/02/17,07
2694,0.0,2019/02/17,06
2693,0.0,2019/02/17,05
2692,0.0,2019/02/17,04
2691,0.0,2019/02/17,03
2690,0.0,2019/02/17,02
2689,0.0,2019/02/17,01
2688,0.0,2019/02/17,00
2698,3613.463889,2019/02/17,10
2727,3080.052778,2019/02/18,15
2728,1467.727778,2019/02/18,16
2729,0.0,2019/02/18,17
2730,0.0,2019/02/18,18
2726,4239.761111,2019/02/18,14
2732,0.0,2019/02/18,20
2733,0.0,2019/02/18,21
2734,0.0,2019/02/18,22
2735,0.0,2019/02/18,23
2731,0.0,2019/02/18,19
2725,4935.241667,2019/02/18,13
2724,5043.319444,2019/02/18,12
2712,0.0,2019/02/18,00
2722,3628.825,2019/02/18,10
2721,2034.252778,2019/02/18,09
2720,476.08055559999997,2019/02/18,08
2719,0.0,2019/02/18,07
2718,0.0,2019/02/18,06
2717,0.0,2019/02/18,05
2716,0.0,2019/02/18,04
2715,0.0,2019/02/18,03
2714,0.0,2019/02/18,02
2713,0.0,2019/02/18,01
2723,4611.975,2019/02/18,11
2750,3998.152778,2019/02/19,14
2751,2857.936111,2019/02/19,15
2752,1453.0805560000001,2019/02/19,16
2753,158.66666669999998,2019/02/19,17
2759,0.0,2019/02/19,23
2755,0.0,2019/02/19,19
2757,0.0,2019/02/19,21
2758,0.0,2019/02/19,22
2749,4715.069444,2019/02/19,13
2754,0.0,2019/02/19,18
2748,4781.208333,2019/02/19,12
2756,0.0,2019/02/19,20
2746,3487.263889,2019/02/19,10
2747,4322.530556000001,2019/02/19,11
2737,0.0,2019/02/19,01
2738,0.0,2019/02/19,02
2739,0.0,2019/02/19,03
2740,0.0,2019/02/19,04
2736,0.0,2019/02/19,00
2742,0.0,2019/02/19,06
2743,0.0,2019/02/19,07
2744,808.229572,2019/02/19,08
2745,1899.394444,2019/02/19,09
2741,0.0,2019/02/19,05
2774,3951.4222219999997,2019/02/20,14
2775,2827.1,2019/02/20,15
2776,1654.025,2019/02/20,16
2777,187.7722222,2019/02/20,17
2779,0.0,2019/02/20,19
2780,0.0,2019/02/20,20
2781,0.0,2019/02/20,21
2782,0.0,2019/02/20,22
2773,4962.486111,2019/02/20,13
2783,0.0,2019/02/20,23
2778,0.0,2019/02/20,18
2772,5003.130556,2019/02/20,12
2768,651.1064516,2019/02/20,08
2770,3615.6444439999996,2019/02/20,10
2769,2094.8444440000003,2019/02/20,09
2767,0.0,2019/02/20,07
2766,0.0,2019/02/20,06
2765,0.0,2019/02/20,05
2764,0.0,2019/02/20,04
2763,0.0,2019/02/20,03
2762,0.0,2019/02/20,02
2761,0.0,2019/02/20,01
2760,0.0,2019/02/20,00
2771,4501.7,2019/02/20,11
2801,156.9777778,2019/02/21,17
2798,4172.416667,2019/02/21,14
2799,3059.438889,2019/02/21,15
2800,1562.480556,2019/02/21,16
2802,0.0,2019/02/21,18
2797,4874.277778,2019/02/21,13
2804,0.0,2019/02/21,20
2805,0.0,2019/02/21,21
2806,0.0,2019/02/21,22
2807,0.0,2019/02/21,23
2803,0.0,2019/02/21,19
2796,4938.825,2019/02/21,12
2784,0.0,2019/02/21,00
2794,3617.711111,2019/02/21,10
2785,0.0,2019/02/21,01
2786,0.0,2019/02/21,02
2787,0.0,2019/02/21,03
2788,0.0,2019/02/21,04
2795,4544.316667,2019/02/21,11
2790,0.0,2019/02/21,06
2791,0.0,2019/02/21,07
2792,644.2777778,2019/02/21,08
2793,2141.5166670000003,2019/02/21,09
2789,0.0,2019/02/21,05
2822,4040.936111,2019/02/22,14
2831,0.0,2019/02/22,23
2830,0.0,2019/02/22,22
2829,0.0,2019/02/22,21
2828,0.0,2019/02/22,20
2827,0.0,2019/02/22,19
2826,0.0,2019/02/22,18
2825,196.875,2019/02/22,17
2824,1319.4055560000002,2019/02/22,16
2823,3185.9222219999997,2019/02/22,15
2821,3914.261111,2019/02/22,13
2820,5007.875,2019/02/22,12
2808,0.0,2019/02/22,00
2819,4709.066667,2019/02/22,11
2809,0.0,2019/02/22,01
2810,0.0,2019/02/22,02
2812,0.0,2019/02/22,04
2813,0.0,2019/02/22,05
2811,0.0,2019/02/22,03
2815,0.0,2019/02/22,07
2816,556.0583333,2019/02/22,08
2817,1832.1027780000002,2019/02/22,09
2818,3676.6083329999997,2019/02/22,10
2814,0.0,2019/02/22,06
2849,467.0888889,2019/02/23,17
2846,4603.652778,2019/02/23,14
2847,3330.933333,2019/02/23,15
2848,1503.402778,2019/02/23,16
2850,0.0,2019/02/23,18
2845,5391.325,2019/02/23,13
2852,0.0,2019/02/23,20
2853,0.0,2019/02/23,21
2854,0.0,2019/02/23,22
2855,0.0,2019/02/23,23
2851,0.0,2019/02/23,19
2844,5453.347222,2019/02/23,12
2832,0.0,2019/02/23,00
2842,3981.8583329999997,2019/02/23,10
2841,1969.0833329999998,2019/02/23,09
2840,213.4555556,2019/02/23,08
2839,0.0,2019/02/23,07
2838,0.0,2019/02/23,06
2837,0.0,2019/02/23,05
2836,0.0,2019/02/23,04
2835,0.0,2019/02/23,03
2834,0.0,2019/02/23,02
2833,0.0,2019/02/23,01
2843,5069.694444,2019/02/23,11
2870,4748.447222,2019/02/24,14
2871,3576.316667,2019/02/24,15
2872,1952.975,2019/02/24,16
2873,206.59722219999998,2019/02/24,17
2874,0.0,2019/02/24,18
2879,0.0,2019/02/24,23
2876,0.0,2019/02/24,20
2877,0.0,2019/02/24,21
2878,0.0,2019/02/24,22
2869,5647.058333,2019/02/24,13
2875,0.0,2019/02/24,19
2868,5715.055556,2019/02/24,12
2856,0.0,2019/02/24,00
2866,4011.5166670000003,2019/02/24,10
2857,0.0,2019/02/24,01
2858,0.0,2019/02/24,02
2859,0.0,2019/02/24,03
2860,0.0,2019/02/24,04
2867,5114.513889,2019/02/24,11
2862,0.0,2019/02/24,06
2863,0.0,2019/02/24,07
2864,664.7555556,2019/02/24,08
2865,2384.0777780000003,2019/02/24,09
2861,0.0,2019/02/24,05
2893,5655.780556000001,2019/02/25,13
2902,0.0,2019/02/25,22
2901,0.0,2019/02/25,21
2900,0.0,2019/02/25,20
2899,0.0,2019/02/25,19
2898,0.0,2019/02/25,18
2897,235.1361111,2019/02/25,17
2896,1947.8194440000002,2019/02/25,16
2895,3530.5777780000003,2019/02/25,15
2894,4776.830556,2019/02/25,14
2903,0.0,2019/02/25,23
2892,5618.666667,2019/02/25,12
2890,4070.7305560000004,2019/02/25,10
2891,5072.444444,2019/02/25,11
2880,0.0,2019/02/25,00
2881,0.0,2019/02/25,01
2883,0.0,2019/02/25,03
2884,0.0,2019/02/25,04
2882,0.0,2019/02/25,02
2886,0.0,2019/02/25,06
2887,0.477777778,2019/02/25,07
2888,897.125,2019/02/25,08
2889,2450.566667,2019/02/25,09
2885,0.0,2019/02/25,05
2921,490.83333330000005,2019/02/26,17
2918,4820.143678,2019/02/26,14
2919,3235.977778,2019/02/26,15
2920,2026.655556,2019/02/26,16
2922,0.0,2019/02/26,18
2917,5547.115987,2019/02/26,13
2924,0.0,2019/02/26,20
2925,0.0,2019/02/26,21
2926,0.0,2019/02/26,22
2927,0.0,2019/02/26,23
2923,0.0,2019/02/26,19
2916,5559.839181,2019/02/26,12
2915,5077.693878,2019/02/26,11
2914,3970.996885,2019/02/26,10
2913,2272.0651559999997,2019/02/26,09
2912,607.5632184,2019/02/26,08
2911,0.0,2019/02/26,07
2910,0.0,2019/02/26,06
2909,0.0,2019/02/26,05
2908,0.0,2019/02/26,04
2907,0.0,2019/02/26,03
2906,0.0,2019/02/26,02
2905,0.0,2019/02/26,01
2904,0.0,2019/02/26,00
2942,4763.230556,2019/02/27,14
2943,3584.427778,2019/02/27,15
2944,1993.266667,2019/02/27,16
2945,276.5777778,2019/02/27,17
2946,0.0,2019/02/27,18
2951,0.0,2019/02/27,23
2948,0.0,2019/02/27,20
2949,0.0,2019/02/27,21
2950,0.0,2019/02/27,22
2941,5432.633333,2019/02/27,13
2947,0.0,2019/02/27,19
2940,5452.694444,2019/02/27,12
2939,5020.111111,2019/02/27,11
2938,4151.597222,2019/02/27,10
2929,0.0,2019/02/27,01
2930,0.0,2019/02/27,02
2931,0.0,2019/02/27,03
2932,0.0,2019/02/27,04
2928,0.0,2019/02/27,00
2934,0.0,2019/02/27,06
2935,0.0,2019/02/27,07
2936,878.8972222000001,2019/02/27,08
2937,2646.458333,2019/02/27,09
2933,0.0,2019/02/27,05
2965,5413.775,2019/02/28,13
2974,0.0,2019/02/28,22
2973,0.0,2019/02/28,21
2972,0.0,2019/02/28,20
2971,0.0,2019/02/28,19
2970,0.0,2019/02/28,18
2969,265.5166667,2019/02/28,17
2968,2036.530556,2019/02/28,16
2967,3394.3277780000003,2019/02/28,15
2966,4695.447222,2019/02/28,14
2964,5174.655556000001,2019/02/28,12
2975,0.0,2019/02/28,23
2962,4000.127778,2019/02/28,10
2952,0.0,2019/02/28,00
2953,0.0,2019/02/28,01
2954,0.0,2019/02/28,02
2955,0.0,2019/02/28,03
2956,0.0,2019/02/28,04
2963,4954.375,2019/02/28,11
2958,0.0,2019/02/28,06
2959,0.480555556,2019/02/28,07
2960,1114.636111,2019/02/28,08
2961,2752.061111,2019/02/28,09
2957,0.0,2019/02/28,05
2989,2291.666667,2019/03/01,13
2998,0.0,2019/03/01,22
2997,0.0,2019/03/01,21
2996,0.0,2019/03/01,20
2995,0.0,2019/03/01,19
2994,0.0,2019/03/01,18
2993,0.0,2019/03/01,17
2992,527.5138889,2019/03/01,16
2991,1712.4916670000002,2019/03/01,15
2990,2953.161111,2019/03/01,14
2988,1762.0388890000002,2019/03/01,12
2999,0.0,2019/03/01,23
2986,987.3555556,2019/03/01,10
2976,0.0,2019/03/01,00
2977,0.0,2019/03/01,01
2978,0.0,2019/03/01,02
2979,0.0,2019/03/01,03
2980,0.0,2019/03/01,04
2987,2006.122222,2019/03/01,11
2982,0.0,2019/03/01,06
2983,0.0,2019/03/01,07
2984,267.2068966,2019/03/01,08
2985,767.3426184,2019/03/01,09
2981,0.0,2019/03/01,05
3013,3102.005556,2019/03/02,13
3014,3948.611111,2019/03/02,14
3015,1869.1,2019/03/02,15
3016,715.9722222,2019/03/02,16
3017,141.2583333,2019/03/02,17
3019,0.0,2019/03/02,19
3020,0.0,2019/03/02,20
3021,0.0,2019/03/02,21
3022,0.0,2019/03/02,22
3012,2508.894444,2019/03/02,12
3018,0.0,2019/03/02,18
3023,0.0,2019/03/02,23
3011,2821.036111,2019/03/02,11
3009,1058.613889,2019/03/02,09
3008,201.0777778,2019/03/02,08
3007,0.0,2019/03/02,07
3006,0.0,2019/03/02,06
3005,0.0,2019/03/02,05
3004,0.0,2019/03/02,04
3003,0.0,2019/03/02,03
3002,0.0,2019/03/02,02
3001,0.0,2019/03/02,01
3000,0.0,2019/03/02,00
3010,1748.686111,2019/03/02,10
3038,4067.708333,2019/03/03,14
3039,3089.9055559999997,2019/03/03,15
3040,1289.591667,2019/03/03,16
3041,606.2888889,2019/03/03,17
3037,4011.994444,2019/03/03,13
3043,0.0,2019/03/03,19
3044,0.0,2019/03/03,20
3045,0.0,2019/03/03,21
3046,0.0,2019/03/03,22
3042,0.0,2019/03/03,18
3036,5272.730556,2019/03/03,12
3047,0.0,2019/03/03,23
3034,4433.533332999999,2019/03/03,10
3024,0.0,2019/03/03,00
3025,0.0,2019/03/03,01
3026,0.0,2019/03/03,02
3027,0.0,2019/03/03,03
3028,0.0,2019/03/03,04
3035,5429.508333,2019/03/03,11
3030,0.0,2019/03/03,06
3031,109.85555559999999,2019/03/03,07
3032,1151.133333,2019/03/03,08
3033,2875.8444440000003,2019/03/03,09
3029,0.0,2019/03/03,05
3070,0.0,2019/03/04,22
3069,0.0,2019/03/04,21
3068,0.0,2019/03/04,20
3067,0.0,2019/03/04,19
3066,0.0,2019/03/04,18
3065,544.6638889,2019/03/04,17
3064,1556.755556,2019/03/04,16
3063,1591.938889,2019/03/04,15
3062,2870.425,2019/03/04,14
3061,1363.238889,2019/03/04,13
3060,914.2888889000001,2019/03/04,12
3071,0.0,2019/03/04,23
3058,13.65833333,2019/03/04,10
3048,0.0,2019/03/04,00
3049,0.0,2019/03/04,01
3050,0.0,2019/03/04,02
3051,0.0,2019/03/04,03
3052,0.0,2019/03/04,04
3059,628.7166667,2019/03/04,11
3054,0.0,2019/03/04,06
3055,0.0,2019/03/04,07
3056,0.8611111109999999,2019/03/04,08
3057,0.0,2019/03/04,09
3053,0.0,2019/03/04,05
3085,5010.431755,2019/03/05,13
3086,6319.719443999999,2019/03/05,14
3087,4119.666667,2019/03/05,15
3088,2232.919444,2019/03/05,16
3089,401.6972222,2019/03/05,17
3091,0.0,2019/03/05,19
3092,0.0,2019/03/05,20
3093,0.0,2019/03/05,21
3094,0.0,2019/03/05,22
3084,6117.566667,2019/03/05,12
3090,0.0,2019/03/05,18
3095,0.0,2019/03/05,23
3083,6972.122222,2019/03/05,11
3081,2895.363636,2019/03/05,09
3082,4667.733333,2019/03/05,10
3072,0.0,2019/03/05,00
3073,0.0,2019/03/05,01
3074,0.0,2019/03/05,02
3075,0.0,2019/03/05,03
3077,0.0,2019/03/05,05
3078,0.0,2019/03/05,06
3079,9.121212121000001,2019/03/05,07
3080,1506.409742,2019/03/05,08
3076,0.0,2019/03/05,04
3119,0.0,2019/03/06,23
3109,3761.119444,2019/03/06,13
3110,2684.988889,2019/03/06,14
3111,3101.925,2019/03/06,15
3112,928.35,2019/03/06,16
3115,0.0,2019/03/06,19
3114,0.0,2019/03/06,18
3116,0.0,2019/03/06,20
3117,0.0,2019/03/06,21
3108,4177.708333,2019/03/06,12
3113,181.19722219999997,2019/03/06,17
3118,0.0,2019/03/06,22
3107,4699.330556,2019/03/06,11
3105,2624.183333,2019/03/06,09
3096,0.0,2019/03/06,00
3097,0.0,2019/03/06,01
3098,0.0,2019/03/06,02
3099,0.0,2019/03/06,03
3106,3135.369444,2019/03/06,10
3101,0.0,2019/03/06,05
3102,0.0,2019/03/06,06
3103,131.8277778,2019/03/06,07
3104,1549.313889,2019/03/06,08
3100,0.0,2019/03/06,04
3133,5799.333333,2019/03/07,13
3142,0.0,2019/03/07,22
3141,0.0,2019/03/07,21
3140,0.0,2019/03/07,20
3139,0.0,2019/03/07,19
3138,0.41666666700000005,2019/03/07,18
3137,376.05555560000005,2019/03/07,17
3136,2125.3916670000003,2019/03/07,16
3135,3429.7528409999995,2019/03/07,15
3134,5921.619444,2019/03/07,14
3132,5142.272222,2019/03/07,12
3143,0.0,2019/03/07,23
3130,1359.736111,2019/03/07,10
3120,0.0,2019/03/07,00
3121,0.0,2019/03/07,01
3122,0.0,2019/03/07,02
3123,0.0,2019/03/07,03
3124,0.0,2019/03/07,04
3131,3411.947222,2019/03/07,11
3126,0.0,2019/03/07,06
3127,0.0,2019/03/07,07
3128,0.0,2019/03/07,08
3129,1015.1833330000001,2019/03/07,09
3125,0.0,2019/03/07,05
3157,5674.897222,2019/03/08,13
3158,4077.761111,2019/03/08,14
3159,2434.7828050000003,2019/03/08,15
3160,1512.769444,2019/03/08,16
3161,487.875,2019/03/08,17
3163,0.0,2019/03/08,19
3164,0.0,2019/03/08,20
3165,0.0,2019/03/08,21
3166,0.0,2019/03/08,22
3156,2132.9527780000003,2019/03/08,12
3162,0.0,2019/03/08,18
3167,0.0,2019/03/08,23
3155,3362.6944439999997,2019/03/08,11
3153,814.3138888999999,2019/03/08,09
3152,128.2027778,2019/03/08,08
3151,0.0,2019/03/08,07
3150,0.0,2019/03/08,06
3149,0.0,2019/03/08,05
3148,0.0,2019/03/08,04
3147,0.0,2019/03/08,03
3146,0.0,2019/03/08,02
3145,0.0,2019/03/08,01
3144,0.0,2019/03/08,00
3154,1604.916667,2019/03/08,10
3182,1866.386111,2019/03/09,14
3183,778.4666667,2019/03/09,15
3184,292.3083333,2019/03/09,16
3185,77.84444444,2019/03/09,17
3181,2492.963889,2019/03/09,13
3187,0.0,2019/03/09,19
3188,0.0,2019/03/09,20
3189,0.0,2019/03/09,21
3190,0.0,2019/03/09,22
3186,0.0,2019/03/09,18
3180,2694.55,2019/03/09,12
3191,0.0,2019/03/09,23
3178,2629.8277780000003,2019/03/09,10
3168,0.0,2019/03/09,00
3169,0.0,2019/03/09,01
3170,0.0,2019/03/09,02
3171,0.0,2019/03/09,03
3172,0.0,2019/03/09,04
3179,1903.125,2019/03/09,11
3174,0.0,2019/03/09,06
3175,0.0,2019/03/09,07
3176,574.9027778,2019/03/09,08
3177,2144.291667,2019/03/09,09
3173,0.0,2019/03/09,05
3206,2722.563889,2019/03/10,14
3207,3254.230556,2019/03/10,15
3208,1011.672222,2019/03/10,16
3209,291.2527778,2019/03/10,17
3210,0.0,2019/03/10,18
3212,0.0,2019/03/10,20
3213,0.0,2019/03/10,21
3214,0.0,2019/03/10,22
3215,0.0,2019/03/10,23
3205,3555.825,2019/03/10,13
3211,0.0,2019/03/10,19
3204,2201.988889,2019/03/10,12
3203,1581.4,2019/03/10,11
3202,332.2944444,2019/03/10,10
3193,0.0,2019/03/10,01
3194,0.0,2019/03/10,02
3195,0.0,2019/03/10,03
3196,0.0,2019/03/10,04
3192,0.0,2019/03/10,00
3198,0.0,2019/03/10,06
3199,0.0,2019/03/10,07
3200,48.25833333,2019/03/10,08
3201,432.54166669999995,2019/03/10,09
3197,0.0,2019/03/10,05
3229,2320.322222,2019/03/11,13
3238,0.0,2019/03/11,22
3237,0.0,2019/03/11,21
3236,0.0,2019/03/11,20
3235,0.0,2019/03/11,19
3234,0.0,2019/03/11,18
3233,679.175,2019/03/11,17
3232,2716.069444,2019/03/11,16
3231,5212.958333,2019/03/11,15
3230,6703.283332999999,2019/03/11,14
3228,2347.080556,2019/03/11,12
3239,0.0,2019/03/11,23
3226,2005.702778,2019/03/11,10
3216,0.0,2019/03/11,00
3217,0.0,2019/03/11,01
3218,0.0,2019/03/11,02
3219,0.0,2019/03/11,03
3220,0.0,2019/03/11,04
3227,845.4333332999998,2019/03/11,11
3222,0.0,2019/03/11,06
3223,14.19444444,2019/03/11,07
3224,234.13055559999998,2019/03/11,08
3225,1192.522222,2019/03/11,09
3221,0.0,2019/03/11,05
3253,5342.506964,2019/03/12,13
3262,0.0,2019/03/12,22
3261,0.0,2019/03/12,21
3260,0.0,2019/03/12,20
3259,0.0,2019/03/12,19
3258,0.0,2019/03/12,18
3257,774.632312,2019/03/12,17
3256,2602.911111,2019/03/12,16
3255,4326.511111,2019/03/12,15
3254,5203.644444,2019/03/12,14
3252,5203.022222,2019/03/12,12
3263,0.0,2019/03/12,23
